idA	idB	O	OHA	OHB	OLA	OLB	K
52705	51772	N	-221	-219	30	30	0
52705	9422	N	150	151	99	99	0
52705	8472	N	96	96	153	153	1
52705	4221	N	113	115	136	136	2
52705	82250	N	-10	-8	241	241	1
52705	78956	N	17	19	232	232	1
52705	20962	N	-68	-67	182	182	1
85145	30688	N	54	58	193	193	0
85145	34198	N	-102	-98	149	149	0
85145	52523	N	-8	-4	243	243	0
85145	72619	N	-221	-217	30	30	0
85145	1539	N	13	15	234	234	0
26724	36912	N	48	49	199	199	2
26724	59355	N	-143	-140	107	107	0
26724	86275	N	11	15	236	236	2
26724	107260	N	48	51	199	199	2
39639	90908	N	-131	-131	120	120	2
52303	218	N	-127	-127	124	124	2
52303	105419	N	136	136	115	115	2
52303	52229	N	54	54	197	197	0
52303	89644	N	99	99	152	152	2
52303	1141	N	-221	-221	30	30	0
52303	29087	N	-127	-127	124	124	0
52303	21141	N	60	60	191	191	0
52303	89533	N	191	191	60	60	0
52303	80224	N	153	152	98	98	1
52303	2579	N	99	98	152	152	0
52303	53149	N	84	84	167	167	2
52303	87720	N	51	51	200	200	4
77931	1867	N	-222	-222	29	29	0
77931	77358	N	149	149	102	102	0
77931	88271	N	149	149	102	102	0
77931	48352	N	228	228	23	23	0
77931	49036	N	-148	-149	102	102	2
9757	53563	N	-61	-60	190	190	0
9757	60934	N	-157	-156	94	94	0
9757	47961	N	0	0	250	250	1
50474	52308	N	-40	-40	211	211	0
50474	1662	N	103	103	148	148	0
50474	28759	N	-183	-183	68	68	0
50474	75768	N	-148	-148	103	103	0
50474	48664	N	48	48	203	203	0
50474	23115	N	-204	-205	46	46	0
50474	16074	N	-104	-104	147	147	1
50474	106899	N	-146	-146	105	105	0
50474	14034	N	-213	-214	37	37	0
50474	89644	N	122	122	129	129	2
50474	63932	N	-40	-40	211	211	0
50474	82089	N	90	89	161	161	0
50474	37068	N	23	23	228	228	1
50474	6741	N	-78	-78	173	173	0
50474	89533	N	214	214	37	37	0
50474	80224	N	176	175	75	75	0
50474	66976	N	49	49	202	202	2
50474	43590	N	33	32	218	218	0
50474	26306	N	49	49	202	202	4
50474	67563	N	-183	-183	68	68	0
50474	2579	N	122	121	129	129	2
50474	82582	N	24	24	227	227	0
50474	68972	N	32	32	219	219	2
50474	7138	N	-146	-146	105	105	0
