idA	idB	O	-LA	RB-	OLA	OLB	K	CIGAR
1	1	N	0	0	67	67	0	ids: 1->1
2	2	N	0	0	250	250	0	ids: 2->2
0	2	N	-29	-29	221	221	0	ids: 2->0
0	0	N	0	0	250	250	0	ids: 0->0
4	4	N	0	0	250	250	0	ids: 4->4
3	3	N	0	0	250	250	0	ids: 3->3
5	5	N	0	0	250	250	0	ids: 5->5
6	10	N	111	111	139	139	0	ids: 6->10
6	12	N	146	146	104	104	1	ids: 6->12
6	6	N	0	0	250	250	0	ids: 6->6
5	9	N	-120	-120	130	130	0	ids: 9->5
7	9	N	-70	-70	180	180	1	ids: 9->7
8	9	N	-14	-14	236	236	0	ids: 9->8
9	9	N	0	0	250	250	0	ids: 9->9
5	7	N	-50	-50	200	200	1	ids: 7->5
7	7	N	0	0	250	250	0	ids: 7->7
7	8	N	-56	-56	194	194	1	ids: 8->7
5	8	N	-106	-106	144	144	0	ids: 8->5
8	8	N	0	0	250	250	0	ids: 8->8
11	11	N	0	0	250	250	0	ids: 11->11
12	12	N	0	0	250	250	0	ids: 12->12
12	18	N	226	226	24	24	0	ids: 12->18
10	12	N	35	35	215	215	2	ids: 10->12
10	10	N	0	0	250	250	0	ids: 10->10
13	13	N	0	0	250	250	0	ids: 13->13
9	13	N	-134	-134	116	116	1	ids: 13->9
8	13	N	-148	-148	102	102	1	ids: 13->8
16	16	N	0	0	250	250	0	ids: 16->16
13	16	N	-105	-105	145	145	2	ids: 16->13
14	16	N	-66	-66	184	184	1	ids: 16->14
18	26	N	219	219	31	31	0	ids: 18->26
18	18	N	0	0	250	250	0	ids: 18->18
18	21	N	137	137	113	113	1	ids: 18->21
18	23	N	187	187	63	63	0	ids: 18->23
9	14	N	-173	-173	77	77	0	ids: 14->9
8	14	N	-187	-187	63	63	0	ids: 14->8
13	14	N	-39	-39	211	211	2	ids: 14->13
14	14	N	0	0	250	250	0	ids: 14->14
15	15	N	0	0	250	250	0	ids: 15->15
11	15	N	-207	-207	43	43	0	ids: 15->11
19	25	N	164	165	85	85	1	ids: 19->25
19	19	N	0	0	249	249	0	ids: 19->19
19	27	N	193	194	56	56	0	ids: 19->27
19	20	N	3	3	246	246	0	ids: 19->20
19	22	N	114	115	135	135	0	ids: 19->22
17	17	N	0	0	250	250	0	ids: 17->17
16	17	N	-10	-10	240	240	1	ids: 17->16
14	17	N	-76	-76	174	174	0	ids: 17->14
13	17	N	-115	-115	135	135	1	ids: 17->13
20	20	N	0	0	249	249	0	ids: 20->20
20	22	N	111	112	138	138	0	ids: 20->22
20	25	N	161	162	88	88	1	ids: 20->25
20	27	N	190	191	59	59	0	ids: 20->27
22	29	N	129	129	121	121	0	ids: 22->29
22	25	N	50	50	200	200	1	ids: 22->25
22	27	N	79	79	171	171	0	ids: 22->27
22	22	N	0	0	250	250	0	ids: 22->22
21	30	N	181	181	69	69	0	ids: 21->30
21	21	N	0	0	250	250	0	ids: 21->21
21	23	N	50	50	200	200	0	ids: 21->23
21	28	N	107	107	143	143	1	ids: 21->28
21	26	N	82	82	168	168	0	ids: 21->26
24	24	N	0	0	250	250	0	ids: 24->24
16	24	N	-224	-224	26	26	0	ids: 24->16
17	24	N	-214	-214	36	36	0	ids: 24->17
23	28	N	57	57	193	193	1	ids: 23->28
23	31	N	192	191	58	58	0	ids: 23->31
23	30	N	131	131	119	119	0	ids: 23->30
23	23	N	0	0	250	250	0	ids: 23->23
23	26	N	32	32	218	218	0	ids: 23->26
25	32	N	192	192	58	58	0	ids: 25->32
25	29	N	79	79	171	171	0	ids: 25->29
25	27	N	29	29	221	221	0	ids: 25->27
25	25	N	0	0	250	250	0	ids: 25->25
25	33	N	219	219	31	31	0	ids: 25->33
27	33	N	190	190	60	60	0	ids: 27->33
27	35	N	217	217	33	33	0	ids: 27->35
27	29	N	50	50	200	200	0	ids: 27->29
27	27	N	0	0	250	250	0	ids: 27->27
27	32	N	163	163	87	87	0	ids: 27->32
29	35	N	167	167	83	83	0	ids: 29->35
