idA	idB	O	OHA	OHB	OLA	OLB	K
11606	13089	N	-179	-179	72	72	0
11606	45905	N	3	3	248	248	1
11606	61072	N	227	227	24	24	0
11606	92600	N	68	67	183	183	0
11606	56278	N	38	37	213	213	0
11606	107175	N	68	67	183	183	0
61563	1129	N	-197	-187	54	54	0
61563	13089	N	-195	-185	56	56	1
61563	5264	N	-76	-66	175	175	0
61563	66188	N	-178	-168	73	73	0
61563	35384	N	-72	-66	175	175	0
22603	40055	N	24	25	226	226	0
22603	1713	N	209	208	41	41	0
24787	85937	N	43	43	208	208	2
24787	33481	N	-40	-42	209	209	4
24787	67552	N	-92	-92	159	159	1
24787	73649	N	-12	-13	238	238	2
24787	38406	N	113	113	138	138	1
24787	3486	N	-7	-7	244	244	2
24787	59735	N	110	109	141	141	1
24787	85802	N	-80	-80	171	171	1
24787	71686	N	-159	-159	92	92	0
24787	69169	N	27	26	224	224	3
24787	104758	N	-7	-7	244	244	0
24787	1050	N	18	18	233	233	0
24787	12222	N	-10	-10	241	241	3
24787	46853	N	-126	-126	125	125	1
24787	55811	N	88	88	163	163	3
24787	45568	N	164	164	87	87	0
85937	33481	N	-83	-85	166	166	2
85937	67552	N	-135	-135	116	116	1
85937	73649	N	-55	-56	195	195	1
85937	38406	N	70	70	181	181	3
85937	3486	N	-50	-50	201	201	0
85937	59735	N	67	66	184	184	2
85937	85802	N	-123	-123	128	128	0
85937	71686	N	-202	-202	49	49	0
85937	69169	N	-16	-17	234	234	3
85937	104758	N	-50	-50	201	201	1
85937	1050	N	-25	-25	226	226	3
85937	12222	N	-53	-53	198	198	2
85937	46853	N	-169	-169	82	82	0
85937	48228	N	-32	-36	215	215	4
85937	55811	N	45	45	206	206	4
69352	105946	N	-207	-208	43	43	0
69352	10016	N	-224	-224	27	27	0
69352	8500	N	-165	-165	86	86	0
69352	49341	N	-225	-225	26	26	0
69352	41376	N	-168	-169	82	82	0
54187	101936	N	-75	-79	172	172	1
54187	99929	N	83	79	168	168	2
54187	80321	N	82	81	169	169	3
54187	47848	N	39	39	212	212	1
54187	5890	N	12	12	239	239	3
405	86601	N	68	68	181	181	1
41359	32918	N	-202	-203	47	47	0
41359	97740	N	-225	-226	24	24	0
41359	30636	N	-140	-140	110	110	0
41359	47501	N	134	134	116	116	0
41359	39998	N	-108	-107	143	143	1
41359	13620	N	126	126	124	124	0
41359	9345	N	193	194	57	57	0
41359	15601	N	170	167	80	80	1
41359	13598	N	221	221	29	29	0
41359	36943	N	162	163	88	88	1
63440	14073	N	127	127	124	124	1
63440	47501	N	-112	-113	138	138	1
63440	10928	N	173	172	78	78	0
63440	13620	N	-120	-121	130	130	1
63440	86601	N	192	190	59	59	1
63440	9345	N	-53	-53	198	198	1
63440	84558	N	171	170	80	80	1
63440	58337	N	-198	-200	51	51	1
83364	90469	N	216	215	35	35	0
83364	43582	N	-205	-205	46	46	0
83364	7603	N	-124	-125	126	126	0
83364	23338	N	218	218	33	33	0
83364	37223	N	99	99	152	152	0
83364	88668	N	-32	-33	218	218	0
22058	70372	N	211	212	39	39	0
22058	43535	N	119	119	131	131	1
1129	51028	N	-224	-224	27	27	0
1129	56278	N	219	218	32	32	0
37106	14869	N	68	69	181	181	1
37106	72441	N	111	112	138	138	1
32399	69494	N	-123	-122	127	127	1
32399	61051	N	220	221	29	29	0
32399	84445	N	-9	-7	242	242	1
38206	11302	N	-105	-104	146	146	1
38206	68692	N	0	0	250	250	3
101936	99929	N	158	158	89	89	1
101936	47848	N	114	118	133	133	0
101936	5890	N	87	91	160	160	2
37427	52073	N	29	28	222	222	1
37427	5189	N	-11	-11	240	240	1
37427	57999	N	39	38	212	212	4
37427	72063	N	-157	-158	93	93	0
37427	76614	N	17	15	234	234	4
37427	14000	N	-11	-11	240	240	3
37427	80079	N	175	175	76	76	1
37427	44246	N	17	16	234	234	3
37427	86858	N	29	28	222	222	4
90469	23361	N	-190	-190	60	60	0
90469	23338	N	2	3	248	248	0
90469	76041	N	-67	-67	183	183	3
90469	37223	N	-117	-116	134	134	0
35908	64278	N	143	143	108	108	0
35908	83014	N	-114	-114	137	137	0
35908	98571	N	-168	-168	83	83	0
35908	101966	N	-129	-129	122	122	0
35908	89186	N	33	32	218	218	1
35908	55415	N	39	39	212	212	4
91373	71732	N	166	164	85	85	1
91373	55103	N	231	231	20	20	0
2424	97548	N	78	80	171	171	3
2424	29562	N	-228	-226	23	23	0
2424	89113	N	-228	-226	23	23	0
2424	68814	N	-228	-226	23	23	0
2424	85472	N	-191	-189	60	60	0
2424	85123	N	-33	-31	218	218	4
2424	16888	N	27	28	222	222	3
2424	64008	N	-186	-184	65	65	1
2424	2361	N	-228	-226	23	23	0
32918	97740	N	-23	-23	226	226	0
32918	30636	N	62	63	187	187	0
32918	39998	N	94	96	155	155	3
64278	65631	N	150	150	101	101	2
64278	55415	N	-104	-104	147	147	0
45412	28625	N	96	95	155	155	2
45412	52278	N	-118	-120	131	131	1
45412	70747	N	106	106	145	145	2
45412	58851	N	184	184	67	67	0
48456	32845	N	-172	-172	79	79	1
48456	95790	N	-60	-60	191	191	0
48456	61155	N	6	6	245	245	1
48456	67648	N	-187	-187	64	64	1
33481	38406	N	153	155	96	96	1
33481	6482	N	126	127	123	123	0
33481	59735	N	150	151	99	99	1
33481	85802	N	-40	-38	211	211	3
33481	69169	N	67	68	182	182	3
33481	1050	N	58	60	191	191	3
33481	46853	N	-86	-84	165	165	3
33481	48228	N	51	49	198	198	0
14073	12894	N	191	190	60	60	0
14073	46376	N	191	190	60	60	0
14073	10928	N	46	45	205	205	1
14073	9345	N	-180	-180	71	71	0
97645	51472	N	0	0	251	251	5
97645	69752	N	-109	-110	141	141	1
43582	7603	N	81	80	170	170	1
43582	88668	N	173	172	78	78	0
28690	103081	N	-224	-224	27	27	0
28690	58851	N	-194	-194	57	57	1
9861	21963	N	-20	-20	231	231	1
9861	72837	N	-163	-163	88	88	1
99929	78692	N	211	215	36	36	0
99929	23800	N	221	225	26	26	0
99929	80321	N	-1	2	247	247	3
99929	47848	N	-44	-40	207	207	1
99929	5890	N	-71	-67	180	180	1
99929	12877	N	-223	-220	27	27	0
97548	16888	N	-51	-52	199	199	0
97548	60354	N	-136	-136	115	115	1
67552	38406	N	205	205	46	46	0
67552	6482	N	178	177	73	73	1
67552	3486	N	85	85	166	166	2
67552	59735	N	202	201	49	49	0
67552	85802	N	12	12	239	239	1
67552	98826	N	-216	-216	35	35	0
67552	69169	N	119	118	132	132	2
67552	104758	N	85	85	166	166	1
67552	1050	N	110	110	141	141	1
67552	80079	N	-203	-203	48	48	0
67552	46853	N	-34	-34	217	217	4
32845	38406	N	-227	-227	24	24	0
32845	59735	N	-230	-231	20	20	0
32845	15920	N	-179	-179	72	72	0
32845	35205	N	-214	-214	37	37	0
32845	96202	N	-227	-227	24	24	0
21572	96180	N	195	195	56	56	0
105946	99339	N	104	104	146	146	0
59742	8742	N	133	132	118	118	1
78692	11234	N	170	169	81	81	0
