idA	idB	O	OHA	OHB	OLA	OLB	K
11606	13089	N	-179	-179	72	72	0
11606	61072	N	227	227	24	24	0
11606	92600	N	68	67	183	183	0
11606	56278	N	38	37	213	213	0
11606	107175	N	68	67	183	183	0
61563	1129	N	-197	-187	54	54	0
61563	5264	N	-76	-66	175	175	0
61563	66188	N	-178	-168	73	73	0
61563	35384	N	-72	-66	175	175	0
22603	40055	N	24	25	226	226	0
22603	1713	N	209	208	41	41	0
24787	71686	N	-159	-159	92	92	0
24787	104758	N	-7	-7	244	244	0
24787	1050	N	18	18	233	233	0
24787	45568	N	164	164	87	87	0
85937	3486	N	-50	-50	201	201	0
85937	85802	N	-123	-123	128	128	0
85937	71686	N	-202	-202	49	49	0
85937	46853	N	-169	-169	82	82	0
69352	105946	N	-207	-208	43	43	0
69352	10016	N	-224	-224	27	27	0
69352	8500	N	-165	-165	86	86	0
69352	49341	N	-225	-225	26	26	0
69352	41376	N	-168	-169	82	82	0
41359	32918	N	-202	-203	47	47	0
41359	97740	N	-225	-226	24	24	0
41359	30636	N	-140	-140	110	110	0
41359	47501	N	134	134	116	116	0
41359	13620	N	126	126	124	124	0
41359	9345	N	193	194	57	57	0
41359	13598	N	221	221	29	29	0
63440	10928	N	173	172	78	78	0
83364	90469	N	216	215	35	35	0
83364	43582	N	-205	-205	46	46	0
83364	7603	N	-124	-125	126	126	0
83364	23338	N	218	218	33	33	0
83364	37223	N	99	99	152	152	0
83364	88668	N	-32	-33	218	218	0
22058	70372	N	211	212	39	39	0
1129	51028	N	-224	-224	27	27	0
1129	56278	N	219	218	32	32	0
32399	61051	N	220	221	29	29	0
101936	47848	N	114	118	133	133	0
37427	72063	N	-157	-158	93	93	0
90469	23361	N	-190	-190	60	60	0
90469	23338	N	2	3	248	248	0
90469	37223	N	-117	-116	134	134	0
35908	64278	N	143	143	108	108	0
35908	83014	N	-114	-114	137	137	0
35908	98571	N	-168	-168	83	83	0
35908	101966	N	-129	-129	122	122	0
91373	55103	N	231	231	20	20	0
2424	29562	N	-228	-226	23	23	0
2424	89113	N	-228	-226	23	23	0
2424	68814	N	-228	-226	23	23	0
2424	85472	N	-191	-189	60	60	0
2424	2361	N	-228	-226	23	23	0
32918	97740	N	-23	-23	226	226	0
32918	30636	N	62	63	187	187	0
64278	55415	N	-104	-104	147	147	0
45412	58851	N	184	184	67	67	0
48456	95790	N	-60	-60	191	191	0
33481	6482	N	126	127	123	123	0
33481	48228	N	51	49	198	198	0
14073	12894	N	191	190	60	60	0
14073	46376	N	191	190	60	60	0
14073	9345	N	-180	-180	71	71	0
43582	88668	N	173	172	78	78	0
28690	103081	N	-224	-224	27	27	0
99929	78692	N	211	215	36	36	0
99929	23800	N	221	225	26	26	0
99929	12877	N	-223	-220	27	27	0
