idA	idB	O	OHA	OHB	OLA	OLB	K
52705	9422	N	150	151	99	99	0
52705	8472	N	96	96	153	153	1
52705	82250	N	-10	-8	241	241	1
52705	78956	N	17	19	232	232	1
52705	20962	N	-68	-67	182	182	1
85145	30688	N	54	58	193	193	0
85145	34198	N	-102	-98	149	149	0
85145	52523	N	-8	-4	243	243	0
85145	1539	N	13	15	234	234	0
26724	36912	N	48	49	199	199	2
26724	59355	N	-143	-140	107	107	0
26724	86275	N	11	15	236	236	2
26724	107260	N	48	51	199	199	2
52303	52229	N	54	54	197	197	0
52303	29087	N	-127	-127	124	124	0
52303	21141	N	60	60	191	191	0
52303	80224	N	153	152	98	98	1
52303	2579	N	99	98	152	152	0
52303	53149	N	84	84	167	167	2
77931	77358	N	149	149	102	102	0
77931	88271	N	149	149	102	102	0
9757	53563	N	-61	-60	190	190	0
9757	60934	N	-157	-156	94	94	0
9757	47961	N	0	0	250	250	1
50474	52308	N	-40	-40	211	211	0
50474	1662	N	103	103	148	148	0
50474	75768	N	-148	-148	103	103	0
50474	48664	N	48	48	203	203	0
50474	16074	N	-104	-104	147	147	1
50474	106899	N	-146	-146	105	105	0
50474	63932	N	-40	-40	211	211	0
50474	82089	N	90	89	161	161	0
50474	37068	N	23	23	228	228	1
50474	6741	N	-78	-78	173	173	0
50474	66976	N	49	49	202	202	2
50474	43590	N	33	32	218	218	0
50474	82582	N	24	24	227	227	0
50474	68972	N	32	32	219	219	2
50474	7138	N	-146	-146	105	105	0
50474	67895	N	16	15	235	235	0
50474	50806	N	-112	-112	139	139	0
50474	3308	N	-116	-116	135	135	0
50474	24590	N	-137	-137	114	114	0
72597	106123	N	-144	-142	107	107	0
72597	98252	N	-147	-145	104	104	0
72597	63893	N	-76	-75	174	174	1
72597	97691	N	-5	-4	245	245	2
72597	8834	N	-15	-13	236	236	1
72597	90208	N	-24	-22	227	227	2
72597	58074	N	-3	-1	248	248	1
72597	44796	N	-113	-111	138	138	1
26425	107261	N	24	21	227	227	1
26425	61074	N	-159	-160	91	91	1
26425	94402	N	-128	-128	123	123	1
26425	39913	N	-169	-169	82	82	0
26425	41771	N	12	12	239	239	1
26425	25339	N	-167	-167	84	84	1
26425	71912	N	159	159	92	92	1
28258	97595	N	33	34	216	216	0
28258	88180	N	33	34	216	216	0
28258	539	N	-95	-93	156	156	0
28258	74183	N	33	34	216	216	1
37726	49291	N	-94	-92	157	157	0
37726	93149	N	83	85	166	166	0
30688	34198	N	-156	-156	95	95	0
30688	52523	N	-62	-62	189	189	0
30688	1539	N	-41	-43	208	208	0
95658	41945	N	97	100	151	151	0
95658	35704	N	-167	-165	83	83	0
95658	72345	N	0	0	248	248	0
95658	70208	N	-3	-1	247	247	0
95658	76539	N	-135	-132	116	116	0
105173	59136	N	148	151	100	100	1
105173	84198	N	83	85	165	165	1
105173	61946	N	148	151	100	100	0
105173	85862	N	-89	-86	162	162	1
105173	72082	N	-25	-22	226	226	2
105173	75410	N	-152	-149	99	99	0
97323	25406	N	42	40	208	208	1
97323	43609	N	23	24	227	227	0
97323	54932	N	14	15	236	236	1
57126	99350	N	126	131	120	120	0
57126	47145	N	-138	-134	112	112	0
57126	78317	N	113	118	133	133	1
57126	28022	N	165	170	81	81	0
57126	75334	N	157	161	89	89	1
57126	75096	N	108	112	138	138	1
57126	50836	N	-75	-70	176	176	2
57126	10551	N	83	88	163	163	0
57126	80087	N	81	86	165	165	1
